"Density(kg/m3)","Temperature(K)"
3.936258968,441.147008
3.970372942,441.520104
4.004723464,441.8932
4.039311777,442.266296
4.074139134,442.639392
4.109206791,443.012488
4.144516009,443.385584
4.180068054,443.75868
4.215864199,444.131776
4.251905721,444.504872
4.288193903,444.877968
4.324730031,445.251064
4.3615154,445.62416
4.398551308,445.997256
4.43583906,446.370352
4.473379965,446.743448
4.511175338,447.116544
4.5492265,447.48964
4.587534777,447.862736
4.626101502,448.235832
4.664928012,448.608928
4.704015649,448.982024
4.743365764,449.35512
4.782979711,449.728216
4.822858851,450.101312
4.863004549,450.474408
4.903418178,450.847504
4.944101117,451.2206
4.985054749,451.593696
5.026280464,451.966792
5.067779659,452.339888
5.109553735,452.712984
5.151604101,453.08608
5.193932171,453.459176
5.236539365,453.832272
5.279427111,454.205368
5.322596841,454.578464
5.366049994,454.95156
5.409788016,455.324656
5.453812358,455.697752
5.49812448,456.070848
5.542725845,456.443944
5.587617926,456.81704
5.632802199,457.190136
5.67828015,457.563232
5.724053268,457.936328
5.770123053,458.309424
5.816491007,458.68252
5.863158643,459.055616
5.910127478,459.428712
5.957399037,459.801808
6.004974852,460.174904
6.052856461,460.548
6.101045409,460.921096
6.14954325,461.294192
6.198351543,461.667288
6.247471855,462.040384
6.29690576,462.41348
6.34665484,462.786576
6.396720682,463.159672
6.447104883,463.532768
6.497809046,463.905864
6.548834781,464.27896
6.600183708,464.652056
6.651857451,465.025152
6.703857645,465.398248
6.756185929,465.771344
6.808843954,466.14444
6.861833375,466.517536
6.915155857,466.890632
6.968813071,467.263728
7.022806699,467.636824
7.077138429,468.00992
7.131809956,468.383016
7.186822985,468.756112
7.242179229,469.129208
7.297880408,469.502304
7.353928251,469.8754
7.410324496,470.248496
7.467070889,470.621592
7.524169184,470.994688
7.581621144,471.367784
7.63942854,471.74088
7.697593154,472.113976
7.756116773,472.487072
7.815001196,472.860168
7.874248229,473.233264
7.933859688,473.60636
7.993837397,473.979456
8.054183191,474.352552
8.114898913,474.725648
8.175986414,475.098744
8.237447557,475.47184
8.299284211,475.844936
8.361498258,476.218032
8.424091587,476.591128
8.487066097,476.964224
8.550423699,477.33732
8.614166311,477.710416
8.678295862,478.083512
8.74281429,478.456608
8.807723544,478.829704
8.873025584,479.2028
8.938722378,479.575896
9.004815905,479.948992
9.071308155,480.322088
9.138201128,480.695184
9.205496835,481.06828
9.273197296,481.441376
9.341304544,481.814472
9.409820621,482.187568
9.47874758,482.560664
9.548087486,482.93376
9.617842415,483.306856
9.688014452,483.679952
9.758605696,484.053048
9.829618256,484.426144
9.901054252,484.79924
9.972915816,485.172336
10.04520509,485.545432
10.11792424,485.918528
10.19107541,486.291624
10.26466081,486.66472
10.3386826,487.037816
10.41314301,487.410912
10.48804424,487.784008
10.56338852,488.157104
10.63917809,488.5302
10.7154152,488.903296
10.79210213,489.276392
10.86924114,489.649488
10.94683454,490.022584
11.02488462,490.39568
11.10339369,490.768776
11.18236411,491.141872
11.26179819,491.514968
